name,type,wattage
EVGA SuperNOVA P2,ATX,1600
EVGA SuperNOVA T2,ATX,1600
EVGA SuperNOVA T2,ATX,1000
EVGA SuperNOVA T2,ATX,850
EVGA W1,ATX,600
Fractal Design Ion SFX,SFX-L,650
Fractal Design Ion SFX,SFX-L,500
Fractal Design Ion+ Platinum,ATX,660
Fractal Design Ion+ Platinum,ATX,760
Fractal Design Ion+ Platinum,ATX,560
Fractal Design Ion+ Platinum,ATX,860
Gigabyte Aorus P750W,ATX,750
Gigabyte Aorus P850W,ATX,850
Gigabyte B700H 80 PLUS Bronze,ATX,700
Gigabyte G750H 80 PLUS Gold,ATX,750
Gigabyte P450B,ATX,450
Gigabyte P550B,ATX,550
Gigabyte P850GM,ATX,850
Gigabyte PB500,ATX,500
Gigabyte PW400,ATX,400
Gigabyte UD1000GM PG5,ATX,1000
Gigabyte UD1000GM PG5 2.0,ATX,1000
Gigabyte UD850GM PG5 2.0,ATX,850
Gigabyte XP1200M,ATX,1200
Impactics 65 Watt AC-DC Adapter für D1NU-Serie,external,65
Impactics 84 Watt AC-DC Adapter inkl. 130 Watt Wandlerplatine,external,84
IN WIN Classic C750 80Plus Platinum,ATX,750
IN WIN Classic C900 80Plus Platinum,ATX,900
IN WIN GreenMe,ATX,750
IN WIN GreenMe,ATX,550
IN WIN GreenMe,ATX,650
IN WIN Power Man IP-P1K0BK7-2,ATX,1000
IN WIN Power Man IP-P1K2BK7-2,ATX,1200
InWin DESERT FOX Commander III 80 PLUS Gold,ATX,600
InWin IP-AD180-2 H 80 Plus Bronze,ITX,180
InWin P75FII,,750
InWin P85FII,,850
"InWin Power Man IP-S550HQ3-2, 80 PLUS Bronze",ATX,550
"InWin Power Man IP-S650HQ3-2, 80 PLUS Bronze",ATX,650
Kolink Classic Power 80 PLUS Bronze,ATX,700
Kolink Classic Power 80 PLUS Bronze,ATX,600
Kolink Classic Power 80 PLUS Bronze,ATX,500
Kolink Classic Power 80 PLUS Bronze,ATX,400
Kolink Continuum 80 PLUS Platinum,ATX,1200
Kolink Continuum 80 PLUS Platinum,ATX,1050
Kolink Continuum 80 PLUS Platinum,ATX,1500
Kolink Continuum 80 PLUS Platinum,ATX,850
Kolink Continuum 80 PLUS Platinum,ATX,1050
Kolink Continuum 80 PLUS Platinum,ATX,1200
Kolink Core 80 PLUS,ATX,400
Kolink Core 80 PLUS,ATX,500
Kolink Core 80 PLUS,ATX,300
Kolink Core 80 PLUS,ATX,600
Kolink Core 80 PLUS,ATX,700
Kolink Core 80 PLUS,ATX,1000
Kolink Core 80 PLUS,ATX,850
Kolink Core RGB 80 PLUS,ATX,500
Kolink Core S Series 80 PLUS,ATX,700
Kolink Core S Series 80 PLUS,ATX,600
Kolink Core S Series 80 PLUS,ATX,500
Kolink Enclave 80 PLUS Gold,ATX,600
Kolink Enclave 80 PLUS Gold,ATX,700
Kolink KL-1000M,ATX,1000
Kolink KL-400 80 PLUS Bronze 400 Watt,ATX,400
Kolink KL-500,ATX,500
Kolink KL-500M,ATX,500
