name,capacity,type,unit,form_factor
Toshiba OCZ VX500 Series,512,SSD,GB,2.5
Toshiba OCZ VX500 Series,256,SSD,GB,2.5
Toshiba OCZ VX500 Series,128,SSD,GB,2.5
Toshiba RC500 250 GB,250,SSD,GB,m.2
Toshiba RC500 500 GB,500,SSD,GB,m.2
Toshiba RD500 1000 GB,1,SSD,TB,m.2
Toshiba RD500 500 GB,500,SSD,GB,m.2
Toshiba TR200 240 GB,240,SSD,GB,2.5
Toshiba TR200 480 GB,480,SSD,GB,2.5
Toshiba TR200 960 GB,960,SSD,GB,2.5
Transcend   120GB TLC   -,120,SSD,GB,m.2
Transcend 2240  128GB MLC   -  2242,128,SSD,GB,m.2
Western Digital Black NVMe M.2 Solid State Drive,250,SSD,GB,m.2
Western Digital Black NVMe M.2 Solid State Drive,500,SSD,GB,m.2
Western Digital Black NVMe M.2 Solid State Drive,256,SSD,GB,m.2
Western Digital Black NVMe M.2 Solid State Drive,512,SSD,GB,m.2
Western Digital Black SN580 NVMe M.2 Solid State Drive 1000 GB,1,SSD,TB,m.2
Western Digital Black SN750 NVMe M.2 Solid State Drive 250 GB,250,SSD,GB,m.2
Western Digital Black SN750 NVMe M.2 Solid State Drive 500 GB,500,SSD,GB,m.2
Western Digital Black SN750 Solid State Drive 1000 GB,1,SSD,TB,m.2
Western Digital Black SN770M NVMe M.2 Solid State Drive 1000 GB,1,SSD,TB,m.2
Western Digital Black SN770M NVMe M.2 Solid State Drive 2000 GB,2,SSD,TB,m.2
Western Digital Black SN850 NVMe M.2 Solid State Drive 1000 GB,1,SSD,TB,m.2
Western Digital Black SN850 NVMe M.2 Solid State Drive 1000 GB,1,SSD,TB,m.2
Western Digital Black SN850 NVMe M.2 Solid State Drive 2000 GB,2,SSD,TB,m.2
Western Digital Black SN850 NVMe M.2 Solid State Drive 2000 GB,2,SSD,TB,m.2
Western Digital Black SN850 NVMe M.2 Solid State Drive 500 GB,500,SSD,GB,m.2
Western Digital Blue,250,SSD,GB,2.5
Western Digital Blue,500,SSD,GB,2.5
Western Digital Blue 3D 1000 GB,1,SSD,TB,2.5
Western Digital Blue 3D 2000 GB,2,SSD,TB,2.5
Western Digital Blue 3D 250 GB,250,SSD,GB,2.5
