name,price
Gigabyte GeForce RTX 2070 Super Windforce OC 3X,499.99
Gigabyte GeForce RTX 2070 Windforce 2X 8G 3.,359.99
Gigabyte GeForce RTX 2080 Gaming OC,514.99
Gigabyte GeForce RTX 2080 Super Gaming OC,599.99
Gigabyte GeForce RTX 2080 Super Gaming OC Waterforce WB,607.99
Gigabyte GeForce RTX 2080 Super Gaming OC White,599.99
Gigabyte GeForce RTX 2080 Super Turbo,1.18
Gigabyte GeForce RTX 2080 Ti Gaming OC,999.99
Gigabyte GeForce RTX 2080 Ti Turbo OC 11G (Rev. 2.0),1069.99
Gigabyte GeForce RTX 2080 Ti WindForce 1,892.99
Gigabyte GeForce RTX 2080 Ti WindForce OC 11G,892.99
Gigabyte GeForce RTX 2080 WindForce OC 8G,789.99
Gigabyte GeForce RTX 3050 Eagle,289.99
Gigabyte GeForce RTX 3050 Eagle OC,299.99
Gigabyte GeForce RTX 3050 Gaming OC,155.99
Gigabyte GeForce RTX 3060 Eagle OC,459.99
Gigabyte GeForce RTX 3060 Eagle OC 12G LHR,399.97
Gigabyte GeForce RTX 3060 Elite,485.99
Gigabyte GeForce RTX 3060 Gaming OC,439.99
Gigabyte GeForce RTX 3060 Gaming OC 12G LHR,289.99
Gigabyte GeForce RTX 3060 Ti Eagle OC,579.99
Gigabyte GeForce RTX 3060 Ti Eagle OC 8G LHR,499.99
Gigabyte GeForce RTX 3060 Ti Gaming OC,599.99
Gigabyte GeForce RTX 3060 Ti Gaming OC 8G LHR,449.99
Gigabyte GeForce RTX 3060 Ti Gaming OC Pro 8G LHR,449.99
Gigabyte GeForce RTX 3060 Ti Vision OC 8G LHR,481.69
Gigabyte GeForce RTX 3060 Vision OC,539.99
Gigabyte GeForce RTX 3060 Vision OC 12G LHR,409.99
GIGABYTE GeForce RTX 3060 Windforce OC,369.99
Gigabyte GeForce RTX 3070 Gaming OC 8G LHR,631.6
Gigabyte GeForce RTX 3070 Ti Eagle OC,799.99
Gigabyte GeForce RTX 3070 Ti Gaming OC 8G LHR,649.99
Gigabyte GeForce RTX 3070 Ti Master,524.99
Gigabyte GeForce RTX 3070 Ti Vision OC,405.99
Gigabyte GeForce RTX 3080 Eagle,999.99
Gigabyte GeForce RTX 3080 Eagle OC 1,1049.99
Gigabyte GeForce RTX 3080 Gaming OC,799.99
Gigabyte GeForce RTX 3080 Gaming OC 1,971.99
Gigabyte GeForce RTX 3080 Ti Eagle OC 12G LHR,1059.99
Gigabyte GeForce RTX 3080 Ti Gaming OC,929.99
Gigabyte GeForce RTX 3080 Ti Vision OC,800.99
Gigabyte GeForce RTX 3090 Gaming OC,1199.99
Gigabyte GeForce RTX 3090 Ti Gaming,1499.0
Gigabyte GeForce RTX 3090 Ti Gaming OC,1499.99
GIGABYTE GeForce RTX 4060 Ti Aero OC,427.99
GIGABYTE GeForce RTX 4060 Ti Aero OC,529.99
GIGABYTE GeForce RTX 4060 Ti Eagle,279.99
GIGABYTE GeForce RTX 4060 Ti Eagle OC,409.99
GIGABYTE GeForce RTX 4060 Ti Gaming OC,343.99
GIGABYTE GeForce RTX 4060 Ti Gaming OC,499.99
GIGABYTE GeForce RTX 4070 Aero OC,679.99
GIGABYTE GeForce RTX 4070 Eagle OC,549.99
GIGABYTE GeForce RTX 4070 Gaming OC,559.99
GIGABYTE GeForce RTX 4070 Super Aero OC,669.99
GIGABYTE GeForce RTX 4070 Super Eagle OC,614.99
GIGABYTE GeForce RTX 4070 Super Gaming OC,624.99
GIGABYTE GeForce RTX 4070 Super Windforce OC,599.99
GIGABYTE GeForce RTX 4070 Ti Aero OC,899.99
